Player,Year,Team,Pos,G,AB,R,H,B2,B3,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
"Howard, R",2007,PHI,1B,144,529,94,142,26,0,47,136,107,199,1,0,0.268,0.392,0.584,0.976
"Kelly, H",1924,NYG,1B,144,571,91,185,37,9,21,136,38,52,7,2,0.324,0.371,0.531,0.902
"Morgan, E",1930,CLE,1B,150,584,122,204,47,11,26,136,62,66,8,4,0.349,0.413,0.601,1.014
"Robinson, F",1962,CIN,OF,162,609,134,208,51,2,39,136,76,62,18,9,0.342,0.421,0.624,1.045
"Snider, D",1955,BRO,OF,148,538,126,166,34,6,42,136,104,87,9,7,0.309,0.418,0.628,1.046
"Alexander, D",1930,DET,1B,154,602,86,196,33,8,20,135,42,56,6,5,0.326,0.372,0.507,0.878
"Bagwell, J",1997,HOU,1B,162,566,109,162,40,2,43,135,127,122,31,10,0.286,0.425,0.592,1.017
"Mathews, E",1953,MIL,3B,157,579,110,175,31,8,47,135,99,83,1,3,0.302,0.406,0.627,1.033
"Meusel, B",1921,NYY,OF,149,598,104,190,40,16,24,135,34,88,17,6,0.318,0.356,0.559,0.915
"Ordonez, M",2002,CWS,RF,153,590,116,189,47,1,38,135,53,77,7,5,0.32,0.381,0.597,0.978
"Ott, M",1936,NYG,OF,150,534,120,175,28,6,33,135,111,41,6,NaN,0.328,0.448,0.588,1.036
"Ott, M",1934,NYG,OF,153,582,119,190,29,10,35,135,85,43,0,NaN,0.326,0.415,0.591,1.006
"Pujols, A",2009,STL,1B,160,568,124,186,45,1,47,135,115,64,16,4,0.327,0.443,0.658,1.101
"Rodriguez, A",2001,TEX,SS,162,632,133,201,34,1,52,135,75,131,18,3,0.318,0.399,0.622,1.021
"Bell, G",1987,TOR,OF,156,610,111,188,32,4,47,134,39,75,5,1,0.308,0.352,0.605,0.957
"Brodie, S",1895,BAL,OF,131,528,85,184,27,10,2,134,26,15,35,NaN,0.348,0.394,0.449,0.843
"Cuyler, K",1930,CHC,OF,156,642,155,228,50,17,13,134,72,49,37,NaN,0.355,0.428,0.547,0.975
"Delgado, C",1999,TOR,1B,152,573,113,156,39,0,44,134,86,141,1,1,0.272,0.377,0.571,0.948
"Griffey, K",1999,SEA,CF,160,606,123,173,26,3,48,134,91,108,24,7,0.285,0.384,0.576,0.96
"Heilmann, H",1925,DET,OF,150,573,97,225,40,11,13,134,67,27,6,6,0.393,0.457,0.569,1.026
"Kelley, J",1895,BAL,OF,131,518,148,189,26,19,10,134,77,29,54,NaN,0.365,0.456,0.546,1.003
"Solters, M",1936,STL,OF,152,628,100,183,45,7,17,134,41,76,3,0,0.291,0.336,0.467,0.802
"Thomas, F",1996,CWS,1B,141,527,110,184,26,0,40,134,109,70,1,1,0.349,0.459,0.626,1.085
"York, R",1940,DET,1B,155,588,105,186,46,6,33,134,89,88,3,2,0.316,0.41,0.583,0.993
"Bichette, D",1999,COL,LF,151,593,104,177,38,2,34,133,54,84,6,6,0.298,0.354,0.541,0.895
"Dickey, B",1937,NYY,C,140,530,87,176,35,2,29,133,73,22,3,2,0.332,0.417,0.57,0.987
"DiMaggio, J",1940,NYY,OF,132,508,93,179,28,9,31,133,61,30,1,2,0.352,0.425,0.626,1.051
"Fielder, C",1991,DET,1B,162,624,102,163,25,0,44,133,78,151,0,0,0.261,0.347,0.513,0.86
"McKean, E",1893,CLE,SS,125,545,103,169,29,24,4,133,50,14,16,NaN,0.31,0.372,0.473,0.846
"McRae, H",1982,KC,DH,159,613,91,189,46,8,27,133,55,61,4,4,0.308,0.369,0.542,0.91
"Wertz, V",1949,DET,OF,155,608,96,185,26,6,20,133,80,61,2,3,0.304,0.385,0.465,0.851
"Aaron, H",1957,MIL,OF,151,615,118,198,27,6,44,132,57,58,1,1,0.322,0.378,0.6,0.978
"Bagwell, J",2000,HOU,1B,159,590,152,183,37,1,47,132,107,116,9,6,0.31,0.424,0.615,1.039
"Cash, N",1961,DET,1B,159,535,119,193,22,8,41,132,124,85,11,5,0.361,0.487,0.662,1.148
"Collins, J",1897,BOS,3B,134,529,103,183,28,13,6,132,41,NaN,14,NaN,0.346,0.4,0.482,0.882
"Fielder, C",1990,DET,1B,159,573,104,159,25,1,51,132,90,182,0,1,0.277,0.377,0.592,0.969
"Meusel, I",1922,NYG,OF,154,617,100,204,28,17,16,132,35,33,12,10,0.331,0.369,0.509,0.877
"Rodriguez, A",2000,SEA,SS,148,554,134,175,34,2,41,132,100,121,15,4,0.316,0.42,0.606,1.026
"Sheffield, G",2003,ATL,RF,155,576,126,190,37,2,39,132,86,55,18,4,0.33,0.419,0.604,1.023
"Castilla, V",2004,COL,3B,148,583,93,158,43,3,35,131,51,113,0,0,0.271,0.332,0.535,0.867
"Delahanty, E",1894,PHI,OF,114,489,147,199,39,18,4,131,60,16,21,NaN,0.407,0.478,0.585,1.063
"Gonzalez, J",1997,TEX,RF,133,533,87,158,24,3,42,131,33,107,0,0,0.296,0.335,0.589,0.924
"Guerrero, V",1999,MON,RF,160,610,102,193,37,5,42,131,55,62,14,7,0.316,0.378,0.6,0.978
"Musial, S",1948,STL,OF,155,611,135,230,46,18,39,131,79,34,7,NaN,0.376,0.45,0.702,1.152
"Ruth, B",1923,NYY,OF,152,522,151,205,45,13,41,131,170,93,17,21,0.393,0.545,0.764,1.309
"Tejada, M",2002,OAK,SS,162,662,108,204,30,0,34,131,38,84,7,2,0.308,0.354,0.508,0.861
"Thome, J",2003,PHI,1B,159,578,111,154,30,3,47,131,111,182,0,3,0.266,0.385,0.573,0.958
"Waner, P",1927,PIT,OF,155,623,114,237,42,18,9,131,60,14,5,NaN,0.38,0.437,0.549,0.986
"Aaron, H",1963,MIL,OF,161,631,121,201,29,4,44,130,78,94,31,5,0.319,0.391,0.586,0.977
"Arenado, N",2015,COL,3B,157,616,97,177,43,4,42,130,34,110,2,5,0.287,0.323,0.575,0.898
"Bagwell, J",2001,HOU,1B,161,600,126,173,43,4,39,130,106,135,11,3,0.288,0.397,0.568,0.966
"Baker, H",1912,PHA,3B,149,577,116,200,40,21,10,130,50,NaN,40,NaN,0.347,0.404,0.541,0.945
"Berger, W",1935,BOS,OF,150,589,91,174,39,4,34,130,50,80,3,NaN,0.295,0.355,0.548,0.903
"Caminiti, K",1996,SD,3B,146,546,109,178,37,2,40,130,78,99,11,5,0.326,0.408,0.621,1.028
"Connor, R",1889,NYG,1B,131,496,117,157,32,17,13,130,93,46,21,NaN,0.317,0.426,0.528,0.955
"Fournier, J",1925,BRO,1B,145,545,99,191,21,16,22,130,86,39,4,6,0.35,0.446,0.569,1.015
"Foxx, J",1934,PHA,1B,150,539,120,180,28,6,44,130,111,75,11,2,0.334,0.449,0.653,1.102
"Hamilton, J",2008,TEX,CF,156,624,98,190,35,5,32,130,64,126,9,1,0.304,0.371,0.53,0.901
"Herman, B",1930,BRO,OF,153,614,143,241,48,11,35,130,66,56,18,NaN,0.393,0.455,0.678,1.132
"Hodges, G",1954,BRO,1B,154,579,106,176,23,5,42,130,74,84,3,3,0.304,0.373,0.579,0.952
"Johnson, D",1965,CIN,1B,159,616,92,177,30,7,32,130,52,97,0,4,0.287,0.34,0.515,0.854
"Luzinski, G",1977,PHI,OF,149,554,99,171,35,3,39,130,80,140,3,2,0.309,0.394,0.594,0.988
"Mantle, M",1956,NYY,OF,150,533,132,188,22,5,52,130,112,99,10,1,0.353,0.464,0.705,1.169
"Morneau, J",2006,MIN,1B,157,592,97,190,37,1,34,130,53,93,3,3,0.321,0.375,0.559,0.934
"Pujols, A",2001,STL,1B,161,590,112,194,47,4,37,130,69,93,1,3,0.329,0.403,0.61,1.013
"Ramirez, M",2004,BOS,LF,152,568,108,175,44,0,43,130,82,124,2,4,0.308,0.397,0.613,1.009
"Rice, J",1979,BOS,OF,158,619,117,201,39,6,39,130,57,97,9,4,0.325,0.381,0.596,0.977
"Rodriguez, A",2005,NYY,3B,162,605,124,194,29,1,48,130,91,139,21,6,0.321,0.421,0.61,1.031
"Slaughter, E",1946,STL,OF,156,609,100,183,30,8,18,130,69,41,9,NaN,0.3,0.374,0.465,0.838
"Snider, D",1954,BRO,OF,149,584,120,199,39,10,40,130,84,96,6,6,0.341,0.423,0.647,1.071
"Speaker, T",1923,CLE,OF,150,574,133,218,59,11,17,130,93,15,8,9,0.38,0.469,0.61,1.079
"Walker, L",1997,COL,RF,153,568,143,208,46,4,49,130,78,90,33,8,0.366,0.452,0.72,1.172
"Wilmot, W",1894,CHI,OF,133,597,134,197,45,12,5,130,35,23,74,NaN,0.33,0.368,0.471,0.839
"Banks, E",1958,CHC,1B,154,617,119,193,23,11,47,129,52,87,4,4,0.313,0.366,0.614,0.98
