playerID,name,pos,height,weight,GP,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade
rossqu01,Quinton Ross,G,78,193,458,8457,1863,267,680,947,431,263,129,217,854,1825,764,402,286,154,49
roybr01,Brandon Roy,G,78,215,321,11438,6107,344,1030,1374,1494,332,75,588,625,4813,2213,1697,1359,915,322
ruffitr01,Trevor Ruffin,G,73,185,110,1870,1011,29,126,155,317,57,4,196,184,845,347,220,175,383,142
rushbr01,Brandon Rush,G,78,210,224,6046,1991,108,688,796,240,135,137,237,394,1792,757,261,182,734,295
russebr01,Bryon Russell,F,79,225,841,19804,6663,752,2162,2914,1085,874,203,835,1984,5272,2274,1906,1430,1856,685
sallejo01,John Salley,F-C,83,230,435,9686,3036,664,1220,1884,607,263,496,558,1370,2210,1075,1205,884,7,2
salmojo01,John Salmons,G-F,78,210,674,18150,6831,358,1720,2078,1704,612,184,996,1298,5560,2456,1731,1396,1418,523
sandela01,Larry Sanders,F,83,235,60,872,260,59,119,178,16,22,72,38,117,268,116,50,28,0,0
schindw01,Dwayne Schintzius,C,85,260,217,1950,587,167,369,536,93,30,117,119,321,633,256,116,74,8,1
schrede01,Detlef Schrempf,F-C,81,214,762,24907,11815,1337,3891,5228,2999,629,219,1653,2290,8180,4049,4067,3307,1045,410
scolalu01,Luis Scola Balvoa,F,81,245,320,9592,4572,696,1862,2558,583,239,100,538,969,3688,1898,1050,775,14,1
scottde01,Dennis Scott,G-F,80,229,629,17983,8094,367,1407,1774,1296,525,197,768,1275,7111,2962,1206,956,3060,1214
